age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
29,2,78261,11,9,2,6,0,0,0,0,0,40,38
19,2,268524,15,10,4,11,3,0,1,0,0,15,38
36,1,192337,11,9,4,7,1,0,0,0,0,40,38
47,2,306183,15,10,0,7,3,0,1,0,0,44,38
42,2,155106,15,10,4,6,1,0,0,0,0,45,38
22,2,136873,15,10,4,2,1,0,0,0,0,40,38
17,2,153542,0,6,4,11,3,0,1,0,0,20,38
25,2,210148,11,9,4,2,3,0,0,0,0,40,38
38,2,289448,12,14,4,9,4,1,1,0,0,40,2
38,2,100295,5,4,2,6,5,0,1,0,0,50,1
20,2,236592,2,8,4,9,1,0,1,0,0,35,21
31,2,121321,1,7,2,11,0,0,0,0,0,51,38
46,4,115971,6,5,2,11,0,0,0,0,0,40,38
33,2,159322,11,9,0,7,4,0,0,0,0,40,38
48,2,151584,11,9,0,13,1,0,0,0,0,46,38
42,2,112451,11,9,4,7,1,1,0,0,0,40,38
25,2,135568,11,9,2,5,0,0,0,0,0,40,38
22,2,254293,2,8,4,5,1,0,0,0,0,40,38
38,2,99138,9,13,4,3,1,0,1,0,0,38,38
42,2,138872,11,9,2,13,0,0,0,0,0,99,38
26,2,303973,11,9,4,8,2,0,1,0,1602,15,25
56,1,157525,15,10,0,10,1,1,0,0,0,48,38
37,2,123833,15,10,4,11,1,0,0,0,0,60,38
26,2,301298,15,10,4,2,3,0,0,0,0,50,38
33,2,283268,9,13,0,3,4,0,1,0,0,40,38
34,2,347166,15,10,2,0,0,0,0,0,0,40,38
39,2,101782,11,9,0,11,1,0,1,0,0,40,38
28,2,278736,2,8,4,5,4,0,0,0,0,40,25
21,5,82847,15,10,4,3,1,0,1,0,0,38,38
43,2,147510,9,13,0,9,4,0,0,0,0,40,38
49,5,247043,15,10,2,10,0,0,0,0,0,40,38
18,2,170627,1,7,4,7,3,0,1,0,0,15,38
22,2,314525,9,13,4,9,1,0,0,0,0,40,38
35,2,276153,9,13,4,12,1,1,1,4650,0,40,38
