capital-gain,hours-per-week, ,capital-gain,hours-per-week, ,capital-gain,hours-per-week, ,capital-gain,hours-per-week, ,capital-gain,hours-per-week,Reward,Average Success Rate,Proportions Difference,L1 Norm
0,0, ,0,-2, ,-2,0, ,-50,0, ,110,2,1108.04,1.0,0.0,23.04
0,0, ,0,-7, ,-3,-1, ,-151,-1, ,102,4,1108.02,1.0,0.0,23.25
0,0, ,0,-6, ,-3,-1, ,-135,-1, ,103,4,1108.02,1.0,0.0,23.25
0,0, ,0,-6, ,-4,-1, ,-123,-1, ,103,5,1108.01,1.0,0.0,23.46
0,0, ,0,-4, ,-4,0, ,-122,-1, ,108,4,1107.99,1.0,0.0,23.66
0,0, ,5,-6, ,-7,-1, ,0,0, ,106,0,1107.99,1.0,0.0,23.65
0,0, ,8,-2, ,-6,-1, ,0,0, ,109,0,1107.96,1.0,0.0,24.04
0,0, ,0,-9, ,-3,-1, ,-151,-1, ,104,4,1107.96,1.0,0.0,24.05
0,0, ,6,-3, ,0,-6, ,-18,0, ,105,0,1107.95,1.0,0.0,24.12
18,3, ,82,18, ,-32,0, ,0,0, ,0,0,1107.93,1.0,0.0,24.37
0,0, ,0,-6, ,-4,-1, ,-110,-1, ,108,5,1107.92,1.0,0.0,24.46
0,0, ,7,-2, ,-6,-2, ,0,0, ,112,0,1107.91,1.0,0.0,24.64
0,0, ,0,-6, ,-4,-1, ,-113,-1, ,110,4,1107.9,1.0,0.0,24.66
0,0, ,0,-4, ,-3,0, ,-100,-1, ,114,5,1107.87,1.0,0.0,25.05
0,0, ,5,-7, ,-8,-1, ,-1,0, ,114,0,1107.84,1.0,0.0,25.46
0,0, ,5,-6, ,-14,-2, ,0,0, ,115,0,1107.82,1.0,0.0,25.69
0,0, ,0,-4, ,-3,-1, ,-112,-1, ,116,5,1107.82,1.0,0.0,25.65
-242,0, ,0,-10, ,117,2, ,0,0, ,0,0,1107.79,1.0,0.0,26.03
-231,0, ,0,-9, ,121,2, ,0,0, ,0,0,1107.74,1.0,0.0,26.63
18,3, ,90,20, ,-36,1, ,0,0, ,0,0,1107.74,1.0,0.0,26.58
0,4, ,123,0, ,-1,2, ,0,-2, ,3,0,1107.72,1.0,0.0,26.8
0,0, ,0,-5, ,-4,-1, ,-128,-1, ,121,5,1107.72,1.0,0.0,26.86
123,0, ,0,8, ,-270,-3, ,0,0, ,0,0,1107.7,1.0,0.0,27.04
0,0, ,0,-11, ,-2,-1, ,-130,-1, ,117,4,1107.7,1.0,0.0,27.03
18,3, ,90,23, ,-34,2, ,0,0, ,0,0,1107.67,1.0,0.0,27.36
-140,0, ,0,-7, ,128,1, ,0,0, ,0,0,1107.67,1.0,0.0,27.43
0,0, ,0,-10, ,-2,-1, ,-99,-1, ,121,4,1107.65,1.0,0.0,27.63
0,0, ,9,-5, ,-3,-8, ,-23,0, ,117,0,1107.62,1.0,0.0,27.96
-1,0, ,0,-3, ,-4,-1, ,-68,0, ,132,4,1107.6,1.0,0.0,28.27
0,12, ,120,1, ,-1,1, ,1,-1, ,6,0,1107.59,1.0,0.0,28.4
0,5, ,128,0, ,-1,2, ,0,-3, ,4,0,1107.59,1.0,0.0,28.4
0,0, ,0,-12, ,-3,-1, ,-114,-1, ,123,4,1107.58,1.0,0.0,28.43
-266,0, ,0,-7, ,133,2, ,0,0, ,0,0,1107.57,1.0,0.0,28.64
0,0, ,0,-2, ,-2,0, ,-47,0, ,138,2,1107.57,1.0,0.0,28.64
0,0, ,0,-4, ,-4,-1, ,-125,0, ,132,5,1107.56,1.0,0.0,28.66
-233,0, ,0,-9, ,132,2, ,0,0, ,0,0,1107.55,1.0,0.0,28.83
-219,0, ,0,-9, ,134,1, ,0,0, ,0,0,1107.53,1.0,0.0,29.03
132,0, ,-630,8, ,-329,-3, ,0,0, ,0,0,1107.53,1.0,0.0,29.08
-258,0, ,0,-8, ,135,2, ,0,0, ,0,0,1107.52,1.0,0.0,29.23
-236,0, ,0,-8, ,135,2, ,0,0, ,0,0,1107.52,1.0,0.0,29.23
0,0, ,19,-6, ,-3,-12, ,-30,0, ,111,0,1107.47,1.0,0.0,29.77
-239,0, ,0,-10, ,138,2, ,0,0, ,0,0,1107.43,1.0,0.0,30.23
0,8, ,132,1, ,-1,1, ,1,-1, ,8,0,1107.42,1.0,0.0,30.4
-254,0, ,0,-11, ,138,2, ,0,0, ,0,0,1107.41,1.0,0.0,30.42
-163,0, ,0,-8, ,142,1, ,0,0, ,0,0,1107.41,1.0,0.0,30.43
0,0, ,18,-6, ,-3,-10, ,-28,0, ,118,0,1107.4,1.0,0.0,30.58
-247,0, ,0,-8, ,142,2, ,0,0, ,0,0,1107.4,1.0,0.0,30.63
-227,0, ,0,-8, ,142,2, ,0,0, ,0,0,1107.4,1.0,0.0,30.63
-1,0, ,0,-3, ,-4,0, ,-51,0, ,143,6,1107.39,1.0,0.0,30.66
0,0, ,1,0, ,-1,-1, ,-8,-1, ,86,0,1107.38,0.99,0.0,17.86
