FunctionalAssessment,ADL,MMSE, ,FunctionalAssessment,ADL,MMSE, ,FunctionalAssessment,ADL,MMSE, ,FunctionalAssessment,ADL,MMSE, ,FunctionalAssessment,ADL,MMSE,Reward,Average Success Rate,Proportions Difference,L1 Norm
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1455,23.3037,1085.47,0.99,0.0,3.48
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1115,23.4033,1085.47,0.99,0.0,3.48
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1048,23.5955,1085.44,0.99,0.0,3.49
-0.0012,0.0004,-0.0023, ,0.0004,-0.0005,0.0004, ,0.0004,0.0004,0.0017, ,0.0023,0.0015,-0.0004, ,0.0606,0.2785,23.3656,1085.28,0.99,0.0,3.53
-0.0013,0.0004,-0.0017, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0011, ,0.0039,0.0013,-0.0004, ,0.0639,0.2746,23.3288,1085.28,0.99,0.0,3.53
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.4655,23.5563,1085.16,0.99,0.0,3.56
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.3853,0.282,23.2021,1085.09,0.99,0.0,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.7464,23.3168,1084.97,0.99,0.0,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0364,23.7367,1084.44,0.99,0.01,3.49
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0396,23.7941,1084.44,0.99,0.01,3.49
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0639,23.7798,1084.44,0.99,0.01,3.49
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0603,23.8628,1084.4,0.99,0.01,3.5
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0364,24.2255,1084.36,0.99,0.01,3.51
