sex,age,race,priors_count,length_of_stay,juv_fel_count,juv_misd_count,juv_other_count
0,34,0,16,1,0,0,0
0,27,0,6,1,0,0,0
0,30,0,11,1,0,0,2
0,26,0,4,0,0,0,0
0,54,0,6,13,0,0,0
0,29,0,5,1,0,0,0
0,23,0,4,143,0,1,0
0,25,0,14,83,0,4,4
0,27,1,0,0,0,0,0
1,28,0,3,4,0,0,0
0,52,0,0,1,0,0,0
0,27,1,7,0,0,0,0
0,37,0,0,0,0,0,0
0,66,1,1,0,0,0,0
1,43,1,0,1,0,0,0
0,22,0,2,1,0,0,0
0,27,1,0,27,0,0,0
1,39,1,8,31,0,0,0
1,21,0,0,1,0,0,0
0,34,0,0,29,0,0,0
1,44,0,11,15,0,1,0
0,21,0,0,1,0,0,0
0,21,0,0,45,0,0,0
0,20,0,3,-1,0,3,0
0,24,1,3,6,0,0,0
0,45,0,0,1,0,0,0
0,27,0,5,4,0,0,0
0,34,0,8,4,2,0,1
0,49,0,11,32,0,0,0
0,25,0,5,54,0,0,0
0,30,0,12,9,4,0,0
0,33,1,9,49,0,0,0
0,35,1,3,1,0,0,0
0,22,0,1,0,0,0,0
0,26,0,18,197,1,1,0
0,37,0,0,0,0,0,0
0,30,0,5,1,0,0,0
0,28,0,18,12,0,0,0
0,25,0,3,0,0,1,1
0,29,0,2,2,0,1,0
0,35,0,2,-1,0,0,0
0,31,0,6,48,0,1,0
0,47,1,3,63,0,0,0
0,21,0,0,1,0,0,0
1,46,1,7,3,0,0,0
0,19,1,0,2,0,0,0
0,37,0,3,1,0,0,0
0,26,1,0,2,0,0,0
0,22,1,6,0,0,0,0
1,28,0,2,1,0,0,0
0,24,0,9,4,1,0,1
1,35,1,4,1,0,0,0
0,51,1,6,18,0,0,0
0,19,0,2,1,0,2,0
0,64,0,13,1,0,0,0
1,35,0,5,0,0,0,0
0,33,0,28,1,0,12,2
0,21,1,0,0,0,0,0
0,25,0,0,-1,0,0,0
0,50,0,3,0,0,0,0
0,23,1,2,7,0,0,0
0,30,0,5,2,1,0,0
0,27,0,9,1,0,1,0
0,23,0,1,1,0,0,0
0,22,0,1,-1,0,0,0
0,26,0,1,0,0,0,0
0,29,0,3,60,1,0,0
0,31,1,0,0,0,0,0
0,21,0,2,86,0,0,0
0,25,1,2,0,0,0,0
0,54,1,14,28,0,0,0
0,38,1,1,0,0,0,0
1,33,0,7,26,0,0,0
