priors_count,length_of_stay, ,priors_count,length_of_stay, ,priors_count,length_of_stay, ,priors_count,length_of_stay, ,priors_count,length_of_stay,Reward,Average Success Rate,Proportions Difference,L1 Norm
-37.0,-413.0, ,-23.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.98,0.84,0.0,10.44
-36.0,-765.0, ,-18.0,-16.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.85,0.84,0.0,10.99
-38.0,-722.0, ,-12.0,-18.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.85,0.84,0.0,10.99
-35.0,-691.0, ,-15.0,-19.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.82,0.84,0.0,11.1
-33.0,-371.0, ,-14.0,-24.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.78,0.84,0.0,11.26
-38.0,-505.0, ,-16.0,-28.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.71,0.84,0.0,11.52
-31.0,-492.0, ,-16.0,-22.0, ,-4.0,-6.0, ,-4.0,-11.0, ,-4.0,-4.0,1072.63,0.84,0.0,11.86
-38.0,-658.0, ,-12.0,-14.0, ,-4.0,-26.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.58,0.84,0.0,12.05
-38.0,-604.0, ,-12.0,-14.0, ,-4.0,-28.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.56,0.84,0.0,12.13
-35.0,-483.0, ,-14.0,-19.0, ,-4.0,-25.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.52,0.84,0.0,12.28
-35.0,-369.0, ,-12.0,-24.0, ,-4.0,-25.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.47,0.84,0.0,12.47
-34.0,-602.0, ,-14.0,-43.0, ,-6.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.45,0.84,0.0,12.56
-35.0,-614.0, ,-13.0,-24.0, ,-4.0,-25.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.45,0.84,0.0,12.56
-30.0,-653.0, ,-13.0,-66.0, ,-6.0,-7.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.36,0.84,0.0,12.94
-38.0,-629.0, ,-15.0,-28.0, ,-4.0,-29.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.35,0.84,0.0,12.98
-30.0,-686.0, ,-15.0,-71.0, ,-6.0,-7.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.32,0.84,0.0,13.08
-38.0,-581.0, ,-15.0,-66.0, ,-6.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.32,0.84,0.0,13.09
-38.0,-627.0, ,-15.0,-69.0, ,-6.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.32,0.84,0.0,13.1
-31.0,-799.0, ,-16.0,-75.0, ,-6.0,-7.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.29,0.84,0.0,13.19
-37.0,-751.0, ,-14.0,-20.0, ,-4.0,-51.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.27,0.84,0.0,13.3
-35.0,-799.0, ,-13.0,-24.0, ,-4.0,-50.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.22,0.84,0.0,13.47
-37.0,-718.0, ,-15.0,-42.0, ,-4.0,-29.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.21,0.84,0.0,13.51
-35.0,-719.0, ,-12.0,-44.0, ,-4.0,-29.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.21,0.84,0.0,13.51
-38.0,-524.0, ,-15.0,-90.0, ,-6.0,-11.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.2,0.84,0.0,13.58
-37.0,-773.0, ,-15.0,-43.0, ,-4.0,-30.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.19,0.84,0.0,13.6
-35.0,-716.0, ,-12.0,-41.0, ,-4.0,-35.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.18,0.84,0.0,13.66
-29.0,-337.0, ,-19.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.1,0.83,0.0,10.38
-32.0,-320.0, ,-19.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.1,0.83,0.0,10.36
-29.0,-325.0, ,-17.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.09,0.83,0.0,10.41
-37.0,-333.0, ,-22.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.09,0.83,0.0,10.4
-38.0,-383.0, ,-22.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.07,0.83,0.0,10.5
-38.0,-401.0, ,-22.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.07,0.83,0.0,10.5
-35.0,-353.0, ,-22.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.07,0.83,0.0,10.48
-32.0,-549.0, ,-6.0,-16.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.05,0.83,0.0,10.56
-34.0,-785.0, ,-6.0,-14.0, ,-4.0,-5.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.05,0.83,0.0,10.59
-38.0,-677.0, ,-6.0,-15.0, ,-5.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.04,0.83,0.0,10.62
-37.0,-402.0, ,-14.0,-12.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.04,0.83,0.0,10.6
-37.0,-247.0, ,-10.0,-18.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.04,0.83,0.0,10.62
-38.0,-463.0, ,-16.0,-13.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.02,0.83,0.0,10.71
-37.0,-626.0, ,-6.0,-19.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.01,0.83,0.0,10.75
-37.0,-703.0, ,-6.0,-18.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.01,0.83,0.0,10.72
-38.0,-518.0, ,-17.0,-13.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.01,0.83,0.0,10.74
-35.0,-433.0, ,-14.0,-16.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.98,0.83,0.0,10.85
-31.0,-568.0, ,-13.0,-16.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.98,0.83,0.0,10.86
-36.0,-685.0, ,-10.0,-17.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.98,0.83,0.0,10.86
-34.0,-601.0, ,-10.0,-17.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.98,0.83,0.0,10.84
-32.0,-584.0, ,-14.0,-16.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.97,0.83,0.0,10.89
-31.0,-759.0, ,-12.0,-16.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.97,0.83,0.0,10.89
-34.0,-799.0, ,-10.0,-18.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.96,0.83,0.0,10.95
-31.0,-701.0, ,-19.0,-15.0, ,-5.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.94,0.83,0.0,11.01
-36.0,-751.0, ,-6.0,-22.0, ,-4.0,-5.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.94,0.83,0.0,11.02
-37.0,-671.0, ,-13.0,-19.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.93,0.83,0.0,11.06
-36.0,-789.0, ,-18.0,-17.0, ,-5.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.91,0.83,0.0,11.14
-38.0,-450.0, ,-28.0,-22.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.87,0.83,0.0,11.28
-31.0,-799.0, ,-5.0,-12.0, ,-5.0,-25.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.78,0.83,0.0,11.66
-38.0,-692.0, ,-6.0,-34.0, ,-4.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.75,0.83,0.0,11.76
-37.0,-771.0, ,-6.0,-35.0, ,-4.0,-7.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.75,0.83,0.0,11.76
-38.0,-671.0, ,-13.0,-33.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.74,0.83,0.0,11.81
-34.0,-689.0, ,-12.0,-35.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.73,0.83,0.0,11.86
-36.0,-758.0, ,-6.0,-44.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.72,0.83,0.0,11.89
-36.0,-562.0, ,-5.0,-7.0, ,-4.0,-44.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.72,0.83,0.0,11.9
-31.0,-392.0, ,-14.0,-40.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.72,0.83,0.0,11.91
-35.0,-749.0, ,-12.0,-37.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.71,0.83,0.0,11.95
-37.0,-363.0, ,-13.0,-42.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.71,0.83,0.0,11.94
-34.0,-677.0, ,-13.0,-36.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.71,0.83,0.0,11.92
-38.0,-386.0, ,-13.0,-24.0, ,-4.0,-9.0, ,-4.0,-9.0, ,-4.0,-4.0,1071.71,0.83,0.0,11.95
-37.0,-799.0, ,-11.0,-38.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.7,0.83,0.0,11.97
-34.0,-578.0, ,-7.0,-39.0, ,-4.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.7,0.83,0.0,11.97
-38.0,-395.0, ,-13.0,-43.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.7,0.83,0.0,11.97
-35.0,-432.0, ,-14.0,-44.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.69,0.83,0.0,12.03
-31.0,-557.0, ,-12.0,-43.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.68,0.83,0.0,12.07
-35.0,-700.0, ,-10.0,-14.0, ,-4.0,-27.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.68,0.83,0.0,12.04
-38.0,-471.0, ,-13.0,-45.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.68,0.83,0.0,12.05
